Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -1058.3726   -1059.3133       0.9408   404.3
0.0100       -1058.3817   -1059.0368       0.6551   281.5
0.0200       -1058.3196   -1059.1083       0.7887   339.0
0.0300       -1058.2253   -1059.1765       0.9512   408.8
0.0400       -1058.3984   -1059.0743       0.6759   290.5
0.0500       -1058.3293   -1059.1386       0.8093   347.8
0.0600       -1058.3182   -1059.0869       0.7687   330.4
0.0700       -1058.2453   -1059.2729       1.0276   441.7
0.0800       -1058.3395   -1059.3089       0.9694   416.7
0.0900       -1058.2802   -1059.3275       1.0473   450.1
0.1000       -1058.2039   -1059.0077       0.8039   345.5
