Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -1059.5086   -1059.6680       0.1594    68.5
0.0100       -1059.4768   -1059.6674       0.1906    81.9
0.0200       -1059.5025   -1059.8188       0.3163   135.9
0.0300       -1059.4721   -1059.8899       0.4178   179.6
0.0400       -1059.5282   -1059.9010       0.3728   160.2
0.0500       -1059.5555   -1059.9980       0.4425   190.2
0.0600       -1059.5501   -1059.9603       0.4103   176.3
0.0700       -1059.5621   -1060.0752       0.5131   220.5
0.0800       -1059.5999   -1060.1434       0.5435   233.6
0.0900       -1059.6081   -1059.9822       0.3741   160.8
0.1000       -1059.6590   -1059.9672       0.3082   132.5
