Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -1058.4962   -1059.6680       1.1718   503.6
0.0100       -1058.0453   -1059.0400       0.9947   427.5
0.0200       -1057.8307   -1058.9744       1.1437   491.5
0.0300       -1058.0129   -1058.9826       0.9698   416.8
0.0400       -1057.9495   -1059.3881       1.4386   618.3
0.0500       -1057.5551   -1058.8938       1.3387   575.4
0.0600       -1057.5397   -1058.6196       1.0799   464.1
0.0700       -1057.6142   -1059.3553       1.7411   748.3
0.0800       -1057.8071   -1059.2486       1.4416   619.6
0.0900       -1057.7424   -1059.0062       1.2638   543.2
0.1000       -1057.5318   -1058.8339       1.3021   559.7
