Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -1058.4163   -1059.6680       1.2517   538.0
0.0100       -1058.4746   -1059.4143       0.9397   403.9
0.0200       -1058.2620   -1059.0499       0.7878   338.6
0.0300       -1058.0448   -1059.4347       1.3899   597.4
0.0400       -1058.0899   -1059.1970       1.1070   475.8
0.0500       -1057.9373   -1058.8479       0.9106   391.4
0.0600       -1057.7273   -1059.0257       1.2983   558.0
0.0700       -1057.9729   -1059.5464       1.5735   676.3
0.0800       -1058.1272   -1059.4124       1.2852   552.4
0.0900       -1058.2082   -1059.3102       1.1020   473.6
0.1000       -1058.0780   -1059.2984       1.2205   524.6
