Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -1058.9647   -1059.6680       0.7033   302.3
0.0100       -1058.9891   -1059.3811       0.3920   168.5
0.0200       -1059.0129   -1059.6772       0.6643   285.5
0.0300       -1059.0273   -1059.6732       0.6459   277.6
0.0400       -1058.9150   -1059.6018       0.6867   295.2
0.0500       -1058.9540   -1059.5021       0.5481   235.6
0.0600       -1059.0944   -1059.8356       0.7412   318.6
0.0700       -1059.0692   -1059.7970       0.7278   312.8
0.0800       -1059.0952   -1059.7902       0.6950   298.7
0.0900       -1059.1062   -1059.7511       0.6449   277.2
0.1000       -1059.0553   -1059.7584       0.7032   302.2
