Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -1058.9308   -1059.3133       0.3825   164.4
0.0100       -1058.9911   -1059.3567       0.3656   157.1
0.0200       -1058.9997   -1059.4189       0.4191   180.1
0.0300       -1059.0101   -1059.4873       0.4772   205.1
0.0400       -1059.0206   -1059.5357       0.5151   221.4
0.0500       -1059.0609   -1059.5771       0.5162   221.9
0.0600       -1059.1099   -1059.6110       0.5011   215.4
0.0700       -1059.2126   -1059.6504       0.4379   188.2
0.0800       -1059.2538   -1059.6420       0.3882   166.8
0.0900       -1059.2429   -1059.6035       0.3606   155.0
0.1000       -1059.3049   -1059.5753       0.2704   116.2
