Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -1058.0061   -1059.3133       1.3072   561.8
0.0100       -1057.5304   -1058.7580       1.2276   527.6
0.0200       -1057.3159   -1058.5672       1.2512   537.8
0.0300       -1057.3583   -1058.8513       1.4930   641.7
0.0400       -1057.3637   -1058.6061       1.2424   534.0
0.0500       -1057.3555   -1058.7292       1.3738   590.4
0.0600       -1057.4017   -1058.3377       0.9360   402.3
0.0700       -1057.6918   -1058.6861       0.9943   427.3
0.0800       -1057.8020   -1058.8150       1.0129   435.4
0.0900       -1057.6482   -1058.8256       1.1775   506.1
0.1000       -1057.6166   -1058.7592       1.1426   491.1
