       Step     Time          Energy          fmax
LBFGS:    0 11:39:38    -1059.577113        3.162644
LBFGS:    1 11:39:38    -1059.710929        2.385651
LBFGS:    2 11:39:38    -1059.789939        0.882970
LBFGS:    3 11:39:38    -1059.817308        0.497060
LBFGS:    4 11:39:38    -1059.836541        0.382019
LBFGS:    5 11:39:38    -1059.849578        0.445243
LBFGS:    6 11:39:38    -1059.861101        0.368840
LBFGS:    7 11:39:38    -1059.873655        0.284919
LBFGS:    8 11:39:38    -1059.880186        0.200614
LBFGS:    9 11:39:38    -1059.883050        0.126783
LBFGS:   10 11:39:38    -1059.885204        0.095974
LBFGS:   11 11:39:38    -1059.886837        0.090119
LBFGS:   12 11:39:38    -1059.888313        0.084227
LBFGS:   13 11:39:38    -1059.889484        0.070129
LBFGS:   14 11:39:38    -1059.890475        0.077151
LBFGS:   15 11:39:39    -1059.891308        0.070707
LBFGS:   16 11:39:39    -1059.892000        0.066943
LBFGS:   17 11:39:39    -1059.892604        0.060047
LBFGS:   18 11:39:39    -1059.893217        0.071996
LBFGS:   19 11:39:39    -1059.893880        0.075085
LBFGS:   20 11:39:39    -1059.894596        0.068183
LBFGS:   21 11:39:39    -1059.895404        0.079378
LBFGS:   22 11:39:39    -1059.896387        0.084107
LBFGS:   23 11:39:39    -1059.897552        0.106057
LBFGS:   24 11:39:39    -1059.898740        0.092748
LBFGS:   25 11:39:39    -1059.899789        0.061215
LBFGS:   26 11:39:39    -1059.900710        0.073065
LBFGS:   27 11:39:39    -1059.901602        0.074289
LBFGS:   28 11:39:39    -1059.902438        0.065611
LBFGS:   29 11:39:39    -1059.903180        0.067172
LBFGS:   30 11:39:39    -1059.903904        0.080276
LBFGS:   31 11:39:39    -1059.904659        0.082706
LBFGS:   32 11:39:39    -1059.905361        0.067133
LBFGS:   33 11:39:39    -1059.905922        0.056986
LBFGS:   34 11:39:39    -1059.906396        0.057414
LBFGS:   35 11:39:39    -1059.906859        0.080890
LBFGS:   36 11:39:39    -1059.907327        0.086791
LBFGS:   37 11:39:39    -1059.907777        0.066910
LBFGS:   38 11:39:39    -1059.908204        0.056776
LBFGS:   39 11:39:39    -1059.908536        0.042644
LBFGS:   40 11:39:39    -1059.908827        0.031798
LBFGS:   41 11:39:39    -1059.909031        0.029426
LBFGS:   42 11:39:39    -1059.909192        0.028596
LBFGS:   43 11:39:39    -1059.909393        0.037523
LBFGS:   44 11:39:39    -1059.909702        0.057975
LBFGS:   45 11:39:39    -1059.910104        0.066657
LBFGS:   46 11:39:39    -1059.910484        0.053425
LBFGS:   47 11:39:39    -1059.910746        0.041222
LBFGS:   48 11:39:40    -1059.910923        0.028780
LBFGS:   49 11:39:40    -1059.911075        0.033455
LBFGS:   50 11:39:40    -1059.911233        0.040826
LBFGS:   51 11:39:40    -1059.911409        0.031571
LBFGS:   52 11:39:40    -1059.911622        0.034872
LBFGS:   53 11:39:40    -1059.911863        0.037857
LBFGS:   54 11:39:40    -1059.912050        0.038282
LBFGS:   55 11:39:40    -1059.912201        0.030992
LBFGS:   56 11:39:40    -1059.912345        0.038789
LBFGS:   57 11:39:40    -1059.912498        0.036092
LBFGS:   58 11:39:40    -1059.912629        0.028137
LBFGS:   59 11:39:40    -1059.912702        0.022030
LBFGS:   60 11:39:40    -1059.912736        0.012244
LBFGS:   61 11:39:40    -1059.912760        0.012468
LBFGS:   62 11:39:40    -1059.912786        0.015803
LBFGS:   63 11:39:40    -1059.912819        0.022776
LBFGS:   64 11:39:40    -1059.912849        0.018663
LBFGS:   65 11:39:40    -1059.912870        0.009806
