       Step     Time          Energy          fmax
LBFGS:    0 11:39:50    -1058.736999        5.441481
LBFGS:    1 11:39:50    -1059.374636        3.236899
LBFGS:    2 11:39:50    -1059.577038        1.637617
LBFGS:    3 11:39:50    -1059.677020        0.808364
LBFGS:    4 11:39:50    -1059.720380        0.556781
LBFGS:    5 11:39:50    -1059.759424        0.451417
LBFGS:    6 11:39:50    -1059.778527        0.357724
LBFGS:    7 11:39:50    -1059.794409        0.295358
LBFGS:    8 11:39:50    -1059.807291        0.300085
LBFGS:    9 11:39:50    -1059.818369        0.297371
LBFGS:   10 11:39:50    -1059.826822        0.254787
LBFGS:   11 11:39:50    -1059.834099        0.246008
LBFGS:   12 11:39:50    -1059.842066        0.179509
LBFGS:   13 11:39:50    -1059.848218        0.209377
LBFGS:   14 11:39:50    -1059.855233        0.228853
LBFGS:   15 11:39:50    -1059.861549        0.177678
LBFGS:   16 11:39:50    -1059.866865        0.169835
LBFGS:   17 11:39:51    -1059.870548        0.140036
LBFGS:   18 11:39:51    -1059.873432        0.141864
LBFGS:   19 11:39:51    -1059.876138        0.143751
LBFGS:   20 11:39:51    -1059.878378        0.109637
LBFGS:   21 11:39:51    -1059.880344        0.097669
LBFGS:   22 11:39:51    -1059.882350        0.090376
LBFGS:   23 11:39:51    -1059.884459        0.113487
LBFGS:   24 11:39:51    -1059.886352        0.116808
LBFGS:   25 11:39:51    -1059.887979        0.109246
LBFGS:   26 11:39:51    -1059.889733        0.098305
LBFGS:   27 11:39:51    -1059.891967        0.105815
LBFGS:   28 11:39:51    -1059.894217        0.108308
LBFGS:   29 11:39:51    -1059.895715        0.074078
LBFGS:   30 11:39:51    -1059.896462        0.051138
LBFGS:   31 11:39:51    -1059.896936        0.047539
LBFGS:   32 11:39:51    -1059.897439        0.048042
LBFGS:   33 11:39:51    -1059.897923        0.054644
LBFGS:   34 11:39:51    -1059.898381        0.058821
LBFGS:   35 11:39:51    -1059.898834        0.046069
LBFGS:   36 11:39:51    -1059.899258        0.047099
LBFGS:   37 11:39:51    -1059.899561        0.039491
LBFGS:   38 11:39:51    -1059.899749        0.032627
LBFGS:   39 11:39:51    -1059.899905        0.030192
LBFGS:   40 11:39:51    -1059.900091        0.034759
LBFGS:   41 11:39:51    -1059.900318        0.053309
LBFGS:   42 11:39:51    -1059.900565        0.056206
LBFGS:   43 11:39:51    -1059.900811        0.039729
LBFGS:   44 11:39:51    -1059.901062        0.048454
LBFGS:   45 11:39:51    -1059.901345        0.047254
LBFGS:   46 11:39:51    -1059.901700        0.060164
LBFGS:   47 11:39:51    -1059.902183        0.071915
LBFGS:   48 11:39:51    -1059.902823        0.064268
LBFGS:   49 11:39:52    -1059.903547        0.078890
LBFGS:   50 11:39:52    -1059.904184        0.065281
LBFGS:   51 11:39:52    -1059.904644        0.057451
LBFGS:   52 11:39:52    -1059.905002        0.052968
LBFGS:   53 11:39:52    -1059.905356        0.046448
LBFGS:   54 11:39:52    -1059.905735        0.056148
LBFGS:   55 11:39:52    -1059.906037        0.072842
LBFGS:   56 11:39:52    -1059.906463        0.078121
LBFGS:   57 11:39:52    -1059.906828        0.056963
LBFGS:   58 11:39:52    -1059.907229        0.042181
LBFGS:   59 11:39:52    -1059.907374        0.069322
LBFGS:   60 11:39:52    -1059.907596        0.054610
LBFGS:   61 11:39:52    -1059.907996        0.034346
LBFGS:   62 11:39:52    -1059.908318        0.048251
LBFGS:   63 11:39:52    -1059.908634        0.052505
LBFGS:   64 11:39:52    -1059.908838        0.035829
LBFGS:   65 11:39:52    -1059.908995        0.040609
LBFGS:   66 11:39:52    -1059.909148        0.038273
LBFGS:   67 11:39:52    -1059.909317        0.052948
LBFGS:   68 11:39:52    -1059.909532        0.058312
LBFGS:   69 11:39:52    -1059.909686        0.044564
LBFGS:   70 11:39:52    -1059.909912        0.037370
LBFGS:   71 11:39:52    -1059.910129        0.033297
LBFGS:   72 11:39:52    -1059.910349        0.035055
LBFGS:   73 11:39:52    -1059.910586        0.041220
LBFGS:   74 11:39:52    -1059.910879        0.051729
LBFGS:   75 11:39:52    -1059.911100        0.104752
LBFGS:   76 11:39:52    -1059.911361        0.064670
LBFGS:   77 11:39:52    -1059.911595        0.035257
LBFGS:   78 11:39:52    -1059.911836        0.026765
LBFGS:   79 11:39:52    -1059.911992        0.041923
LBFGS:   80 11:39:52    -1059.912206        0.033584
LBFGS:   81 11:39:52    -1059.912342        0.046789
LBFGS:   82 11:39:53    -1059.912465        0.030656
LBFGS:   83 11:39:53    -1059.912571        0.025042
LBFGS:   84 11:39:53    -1059.912638        0.027292
LBFGS:   85 11:39:53    -1059.912687        0.024280
LBFGS:   86 11:39:53    -1059.912735        0.015021
LBFGS:   87 11:39:53    -1059.912782        0.015868
LBFGS:   88 11:39:53    -1059.912821        0.014785
LBFGS:   89 11:39:53    -1059.912848        0.016501
LBFGS:   90 11:39:53    -1059.912873        0.016666
LBFGS:   91 11:39:53    -1059.912907        0.024014
LBFGS:   92 11:39:53    -1059.912958        0.031539
LBFGS:   93 11:39:53    -1059.913024        0.038023
LBFGS:   94 11:39:53    -1059.913094        0.025230
LBFGS:   95 11:39:53    -1059.913158        0.019790
LBFGS:   96 11:39:53    -1059.913215        0.019213
LBFGS:   97 11:39:53    -1059.913276        0.019277
LBFGS:   98 11:39:53    -1059.913347        0.031249
LBFGS:   99 11:39:53    -1059.913377        0.043244
LBFGS:  100 11:39:53    -1059.913448        0.020737
LBFGS:  101 11:39:53    -1059.913474        0.010468
LBFGS:  102 11:39:53    -1059.913495        0.015091
LBFGS:  103 11:39:53    -1059.913507        0.013548
LBFGS:  104 11:39:53    -1059.913536        0.013647
LBFGS:  105 11:39:53    -1059.913556        0.010551
LBFGS:  106 11:39:53    -1059.913567        0.008023
