       Step     Time          Energy          fmax
LBFGS:    0 11:38:51    -1060.075230        1.866216
LBFGS:    1 11:38:51    -1060.177241        1.710814
LBFGS:    2 11:38:51    -1060.212576        0.671941
LBFGS:    3 11:38:51    -1060.228156        0.267285
LBFGS:    4 11:38:51    -1060.236989        0.183068
LBFGS:    5 11:38:51    -1060.241742        0.277054
LBFGS:    6 11:38:52    -1060.245273        0.196475
LBFGS:    7 11:38:52    -1060.248881        0.143320
LBFGS:    8 11:38:52    -1060.251918        0.127200
LBFGS:    9 11:38:52    -1060.254580        0.122964
LBFGS:   10 11:38:52    -1060.256556        0.104478
LBFGS:   11 11:38:52    -1060.258028        0.106237
LBFGS:   12 11:38:52    -1060.259281        0.091203
LBFGS:   13 11:38:52    -1060.260497        0.091310
LBFGS:   14 11:38:52    -1060.261489        0.086961
LBFGS:   15 11:38:52    -1060.262118        0.062014
LBFGS:   16 11:38:52    -1060.262517        0.052084
LBFGS:   17 11:38:52    -1060.262855        0.045500
LBFGS:   18 11:38:52    -1060.263182        0.039126
LBFGS:   19 11:38:52    -1060.263501        0.041930
LBFGS:   20 11:38:52    -1060.263824        0.042234
LBFGS:   21 11:38:52    -1060.264171        0.051512
LBFGS:   22 11:38:52    -1060.264533        0.049411
LBFGS:   23 11:38:52    -1060.264883        0.039584
LBFGS:   24 11:38:52    -1060.265221        0.042337
LBFGS:   25 11:38:52    -1060.265562        0.044687
LBFGS:   26 11:38:52    -1060.265877        0.037456
LBFGS:   27 11:38:52    -1060.266119        0.034250
LBFGS:   28 11:38:52    -1060.266312        0.033989
LBFGS:   29 11:38:52    -1060.266521        0.037170
LBFGS:   30 11:38:52    -1060.266784        0.043171
LBFGS:   31 11:38:52    -1060.267075        0.044983
LBFGS:   32 11:38:52    -1060.267349        0.046211
LBFGS:   33 11:38:52    -1060.267592        0.038190
LBFGS:   34 11:38:52    -1060.267825        0.048915
LBFGS:   35 11:38:52    -1060.268035        0.046353
LBFGS:   36 11:38:52    -1060.268193        0.033378
LBFGS:   37 11:38:52    -1060.268309        0.027847
LBFGS:   38 11:38:52    -1060.268428        0.034767
LBFGS:   39 11:38:53    -1060.268567        0.039658
LBFGS:   40 11:38:53    -1060.268705        0.032757
LBFGS:   41 11:38:53    -1060.268820        0.024008
LBFGS:   42 11:38:53    -1060.268918        0.025216
LBFGS:   43 11:38:53    -1060.269018        0.026549
LBFGS:   44 11:38:53    -1060.269129        0.031559
LBFGS:   45 11:38:53    -1060.269238        0.027012
LBFGS:   46 11:38:53    -1060.269335        0.025990
LBFGS:   47 11:38:53    -1060.269420        0.026616
LBFGS:   48 11:38:53    -1060.269508        0.032181
LBFGS:   49 11:38:53    -1060.269630        0.048445
LBFGS:   50 11:38:53    -1060.269810        0.059196
LBFGS:   51 11:38:53    -1060.270042        0.056344
LBFGS:   52 11:38:53    -1060.270250        0.033217
LBFGS:   53 11:38:53    -1060.270369        0.022865
LBFGS:   54 11:38:53    -1060.270449        0.037158
LBFGS:   55 11:38:53    -1060.270533        0.023187
LBFGS:   56 11:38:53    -1060.270652        0.034330
LBFGS:   57 11:38:53    -1060.270720        0.032112
LBFGS:   58 11:38:53    -1060.270770        0.019148
LBFGS:   59 11:38:53    -1060.270804        0.011938
LBFGS:   60 11:38:53    -1060.270825        0.007569
