       Step     Time          Energy          fmax
LBFGS:    0 11:39:31    -1059.535687        3.764733
LBFGS:    1 11:39:31    -1059.672746        4.535567
LBFGS:    2 11:39:31    -1059.815919        0.743105
LBFGS:    3 11:39:31    -1059.834682        0.337014
LBFGS:    4 11:39:31    -1059.847784        0.335018
LBFGS:    5 11:39:31    -1059.861540        0.385965
LBFGS:    6 11:39:31    -1059.868962        0.336322
LBFGS:    7 11:39:31    -1059.876015        0.325550
LBFGS:    8 11:39:31    -1059.881016        0.284098
LBFGS:    9 11:39:31    -1059.883888        0.131483
LBFGS:   10 11:39:31    -1059.885358        0.106708
LBFGS:   11 11:39:31    -1059.886707        0.112772
LBFGS:   12 11:39:31    -1059.888053        0.119422
LBFGS:   13 11:39:31    -1059.889617        0.108084
LBFGS:   14 11:39:31    -1059.891309        0.093543
LBFGS:   15 11:39:31    -1059.892902        0.101592
LBFGS:   16 11:39:31    -1059.894223        0.109409
LBFGS:   17 11:39:31    -1059.895276        0.085241
LBFGS:   18 11:39:31    -1059.896081        0.064735
LBFGS:   19 11:39:31    -1059.896660        0.054332
LBFGS:   20 11:39:31    -1059.897102        0.047310
LBFGS:   21 11:39:31    -1059.897515        0.049828
LBFGS:   22 11:39:31    -1059.897979        0.065768
LBFGS:   23 11:39:31    -1059.898525        0.066918
LBFGS:   24 11:39:31    -1059.899146        0.068622
LBFGS:   25 11:39:32    -1059.899833        0.064739
LBFGS:   26 11:39:32    -1059.900612        0.069107
LBFGS:   27 11:39:32    -1059.901517        0.072859
LBFGS:   28 11:39:32    -1059.902495        0.081164
LBFGS:   29 11:39:32    -1059.903377        0.083413
LBFGS:   30 11:39:32    -1059.904065        0.054410
LBFGS:   31 11:39:32    -1059.904630        0.059866
LBFGS:   32 11:39:32    -1059.905209        0.070286
LBFGS:   33 11:39:32    -1059.905915        0.073234
LBFGS:   34 11:39:32    -1059.906692        0.084352
LBFGS:   35 11:39:32    -1059.907380        0.062591
LBFGS:   36 11:39:32    -1059.907908        0.052184
LBFGS:   37 11:39:32    -1059.908317        0.052388
LBFGS:   38 11:39:32    -1059.908597        0.115615
LBFGS:   39 11:39:32    -1059.908940        0.044749
LBFGS:   40 11:39:32    -1059.909245        0.036891
LBFGS:   41 11:39:32    -1059.909609        0.039318
LBFGS:   42 11:39:32    -1059.909806        0.033873
LBFGS:   43 11:39:32    -1059.910037        0.032324
LBFGS:   44 11:39:32    -1059.910192        0.029082
LBFGS:   45 11:39:32    -1059.910370        0.030716
LBFGS:   46 11:39:32    -1059.910554        0.028734
LBFGS:   47 11:39:32    -1059.910748        0.034737
LBFGS:   48 11:39:32    -1059.910941        0.036267
LBFGS:   49 11:39:32    -1059.911152        0.033487
LBFGS:   50 11:39:32    -1059.911382        0.036141
LBFGS:   51 11:39:32    -1059.911614        0.036574
LBFGS:   52 11:39:32    -1059.911838        0.032950
LBFGS:   53 11:39:32    -1059.912055        0.033983
LBFGS:   54 11:39:32    -1059.912258        0.029370
LBFGS:   55 11:39:32    -1059.912415        0.027856
LBFGS:   56 11:39:32    -1059.912515        0.023462
LBFGS:   57 11:39:33    -1059.912584        0.042385
LBFGS:   58 11:39:33    -1059.912651        0.018893
LBFGS:   59 11:39:33    -1059.912721        0.015258
LBFGS:   60 11:39:33    -1059.912744        0.012714
LBFGS:   61 11:39:33    -1059.912767        0.011661
LBFGS:   62 11:39:33    -1059.912787        0.012555
LBFGS:   63 11:39:33    -1059.912816        0.014203
LBFGS:   64 11:39:33    -1059.912846        0.014491
LBFGS:   65 11:39:33    -1059.912876        0.016412
LBFGS:   66 11:39:33    -1059.912903        0.014646
LBFGS:   67 11:39:33    -1059.912931        0.013170
LBFGS:   68 11:39:33    -1059.912956        0.013580
LBFGS:   69 11:39:33    -1059.912976        0.011353
LBFGS:   70 11:39:33    -1059.912993        0.008451
