       Step     Time          Energy          fmax
LBFGS:    0 11:39:03    -1059.298438        3.271815
LBFGS:    1 11:39:03    -1059.755835        1.923524
LBFGS:    2 11:39:03    -1059.919628        1.025039
LBFGS:    3 11:39:03    -1060.022364        0.792038
LBFGS:    4 11:39:03    -1060.081078        0.500867
LBFGS:    5 11:39:03    -1060.119608        0.443394
LBFGS:    6 11:39:03    -1060.149365        0.319076
LBFGS:    7 11:39:03    -1060.165718        0.289267
LBFGS:    8 11:39:03    -1060.178549        0.332287
LBFGS:    9 11:39:04    -1060.189002        0.391266
LBFGS:   10 11:39:04    -1060.199242        0.228106
LBFGS:   11 11:39:04    -1060.209582        0.228422
LBFGS:   12 11:39:04    -1060.218029        0.209977
LBFGS:   13 11:39:04    -1060.225988        0.249076
LBFGS:   14 11:39:04    -1060.233953        0.220299
LBFGS:   15 11:39:04    -1060.240524        0.158278
LBFGS:   16 11:39:04    -1060.244990        0.146586
LBFGS:   17 11:39:04    -1060.247756        0.138927
LBFGS:   18 11:39:04    -1060.249728        0.103393
LBFGS:   19 11:39:04    -1060.251383        0.095482
LBFGS:   20 11:39:04    -1060.252808        0.105186
LBFGS:   21 11:39:04    -1060.253924        0.078316
LBFGS:   22 11:39:04    -1060.254736        0.070489
LBFGS:   23 11:39:04    -1060.255390        0.062482
LBFGS:   24 11:39:04    -1060.256019        0.067159
LBFGS:   25 11:39:04    -1060.256614        0.055309
LBFGS:   26 11:39:04    -1060.257089        0.040208
LBFGS:   27 11:39:04    -1060.257455        0.048357
LBFGS:   28 11:39:04    -1060.257832        0.053627
LBFGS:   29 11:39:04    -1060.258360        0.063060
LBFGS:   30 11:39:04    -1060.259128        0.071878
LBFGS:   31 11:39:04    -1060.260097        0.079555
LBFGS:   32 11:39:04    -1060.261061        0.069182
LBFGS:   33 11:39:04    -1060.261797        0.047057
LBFGS:   34 11:39:04    -1060.262288        0.046299
LBFGS:   35 11:39:04    -1060.262718        0.048861
LBFGS:   36 11:39:04    -1060.263201        0.052374
LBFGS:   37 11:39:04    -1060.263702        0.052582
LBFGS:   38 11:39:04    -1060.264118        0.046941
LBFGS:   39 11:39:04    -1060.264420        0.037287
LBFGS:   40 11:39:04    -1060.264695        0.035600
LBFGS:   41 11:39:05    -1060.265053        0.051520
LBFGS:   42 11:39:05    -1060.265501        0.055713
LBFGS:   43 11:39:05    -1060.265886        0.038023
LBFGS:   44 11:39:05    -1060.266097        0.032339
LBFGS:   45 11:39:05    -1060.266203        0.040435
LBFGS:   46 11:39:05    -1060.266324        0.037143
LBFGS:   47 11:39:05    -1060.266534        0.037036
LBFGS:   48 11:39:05    -1060.266774        0.048779
LBFGS:   49 11:39:05    -1060.267037        0.051406
LBFGS:   50 11:39:05    -1060.267339        0.051118
LBFGS:   51 11:39:05    -1060.267654        0.043209
LBFGS:   52 11:39:05    -1060.267925        0.041479
LBFGS:   53 11:39:05    -1060.268096        0.031124
LBFGS:   54 11:39:05    -1060.268241        0.035678
LBFGS:   55 11:39:05    -1060.268437        0.035661
LBFGS:   56 11:39:05    -1060.268677        0.041808
LBFGS:   57 11:39:05    -1060.268915        0.048055
LBFGS:   58 11:39:05    -1060.269116        0.042078
LBFGS:   59 11:39:05    -1060.269307        0.029080
LBFGS:   60 11:39:05    -1060.269492        0.037998
LBFGS:   61 11:39:05    -1060.269651        0.040711
LBFGS:   62 11:39:05    -1060.269807        0.042305
LBFGS:   63 11:39:05    -1060.270005        0.031669
LBFGS:   64 11:39:05    -1060.270159        0.028812
LBFGS:   65 11:39:05    -1060.270297        0.020885
LBFGS:   66 11:39:05    -1060.270357        0.014478
LBFGS:   67 11:39:05    -1060.270395        0.017626
LBFGS:   68 11:39:05    -1060.270440        0.018870
LBFGS:   69 11:39:05    -1060.270490        0.019869
LBFGS:   70 11:39:05    -1060.270524        0.011626
LBFGS:   71 11:39:05    -1060.270540        0.007038
