       Step     Time          Energy          fmax
LBFGS:    0 11:39:02    -1058.847854        4.033825
LBFGS:    1 11:39:02    -1059.359490        2.179258
LBFGS:    2 11:39:02    -1059.541013        1.623445
LBFGS:    3 11:39:02    -1059.732966        1.416857
LBFGS:    4 11:39:02    -1059.928900        1.103279
LBFGS:    5 11:39:02    -1059.998064        0.663357
LBFGS:    6 11:39:02    -1060.051559        0.580565
LBFGS:    7 11:39:02    -1060.081781        0.448107
LBFGS:    8 11:39:02    -1060.107456        0.551321
LBFGS:    9 11:39:02    -1060.134021        0.695497
LBFGS:   10 11:39:02    -1060.162261        0.414053
LBFGS:   11 11:39:02    -1060.189248        0.391887
LBFGS:   12 11:39:02    -1060.207222        0.327620
LBFGS:   13 11:39:02    -1060.221082        0.328246
LBFGS:   14 11:39:02    -1060.231257        0.256814
LBFGS:   15 11:39:02    -1060.238326        0.239578
LBFGS:   16 11:39:02    -1060.244590        0.235970
LBFGS:   17 11:39:02    -1060.250234        0.181242
LBFGS:   18 11:39:02    -1060.254022        0.148305
LBFGS:   19 11:39:02    -1060.256090        0.098873
LBFGS:   20 11:39:02    -1060.257425        0.091884
LBFGS:   21 11:39:02    -1060.258686        0.102990
LBFGS:   22 11:39:02    -1060.259859        0.101076
LBFGS:   23 11:39:02    -1060.260926        0.079144
LBFGS:   24 11:39:02    -1060.261873        0.072428
LBFGS:   25 11:39:03    -1060.262650        0.075610
LBFGS:   26 11:39:03    -1060.263273        0.053579
LBFGS:   27 11:39:03    -1060.263898        0.061930
LBFGS:   28 11:39:03    -1060.264655        0.081294
LBFGS:   29 11:39:03    -1060.265487        0.084687
LBFGS:   30 11:39:03    -1060.266211        0.074199
LBFGS:   31 11:39:03    -1060.266786        0.064108
LBFGS:   32 11:39:03    -1060.267334        0.063674
LBFGS:   33 11:39:03    -1060.267935        0.069290
LBFGS:   34 11:39:03    -1060.268475        0.060239
LBFGS:   35 11:39:03    -1060.268837        0.048992
LBFGS:   36 11:39:03    -1060.269074        0.039779
LBFGS:   37 11:39:03    -1060.269282        0.043771
LBFGS:   38 11:39:03    -1060.269498        0.043893
LBFGS:   39 11:39:03    -1060.269712        0.034410
LBFGS:   40 11:39:03    -1060.269909        0.037320
LBFGS:   41 11:39:03    -1060.270079        0.032442
LBFGS:   42 11:39:03    -1060.270208        0.031073
LBFGS:   43 11:39:03    -1060.270288        0.017345
LBFGS:   44 11:39:03    -1060.270337        0.013214
LBFGS:   45 11:39:03    -1060.270371        0.013284
LBFGS:   46 11:39:03    -1060.270396        0.013145
LBFGS:   47 11:39:03    -1060.270416        0.010545
LBFGS:   48 11:39:03    -1060.270435        0.009983
