       Step     Time          Energy          fmax
LBFGS:    0 11:38:49    -1059.960329        2.745502
LBFGS:    1 11:38:50    -1060.121495        2.691231
LBFGS:    2 11:38:50    -1060.176403        1.212406
LBFGS:    3 11:38:50    -1060.200891        0.344666
LBFGS:    4 11:38:50    -1060.212993        0.249073
LBFGS:    5 11:38:50    -1060.229069        0.379257
LBFGS:    6 11:38:50    -1060.235991        0.287874
LBFGS:    7 11:38:50    -1060.241373        0.302591
LBFGS:    8 11:38:50    -1060.244950        0.186666
LBFGS:    9 11:38:50    -1060.247850        0.180511
LBFGS:   10 11:38:50    -1060.250486        0.110988
LBFGS:   11 11:38:50    -1060.252765        0.103527
LBFGS:   12 11:38:50    -1060.254817        0.122910
LBFGS:   13 11:38:50    -1060.256407        0.128533
LBFGS:   14 11:38:50    -1060.257692        0.085284
LBFGS:   15 11:38:50    -1060.258719        0.087182
LBFGS:   16 11:38:50    -1060.259653        0.094714
LBFGS:   17 11:38:50    -1060.260611        0.075933
LBFGS:   18 11:38:50    -1060.261549        0.062165
LBFGS:   19 11:38:50    -1060.262248        0.048649
LBFGS:   20 11:38:50    -1060.262638        0.042737
LBFGS:   21 11:38:50    -1060.262869        0.037818
LBFGS:   22 11:38:50    -1060.263099        0.035851
LBFGS:   23 11:38:50    -1060.263398        0.039040
LBFGS:   24 11:38:50    -1060.263770        0.045144
LBFGS:   25 11:38:50    -1060.264188        0.050536
LBFGS:   26 11:38:50    -1060.264618        0.044081
LBFGS:   27 11:38:50    -1060.265022        0.045736
LBFGS:   28 11:38:50    -1060.265389        0.046856
LBFGS:   29 11:38:50    -1060.265757        0.051958
LBFGS:   30 11:38:50    -1060.266165        0.053659
LBFGS:   31 11:38:50    -1060.266579        0.048143
LBFGS:   32 11:38:50    -1060.266893        0.036957
LBFGS:   33 11:38:50    -1060.267093        0.034925
LBFGS:   34 11:38:51    -1060.267262        0.034120
LBFGS:   35 11:38:51    -1060.267471        0.034896
LBFGS:   36 11:38:51    -1060.267717        0.038703
LBFGS:   37 11:38:51    -1060.267924        0.031872
LBFGS:   38 11:38:51    -1060.268054        0.022990
LBFGS:   39 11:38:51    -1060.268149        0.021088
LBFGS:   40 11:38:51    -1060.268257        0.022037
LBFGS:   41 11:38:51    -1060.268390        0.032691
LBFGS:   42 11:38:51    -1060.268526        0.031526
LBFGS:   43 11:38:51    -1060.268638        0.026124
LBFGS:   44 11:38:51    -1060.268732        0.027240
LBFGS:   45 11:38:51    -1060.268830        0.031051
LBFGS:   46 11:38:51    -1060.268961        0.046638
LBFGS:   47 11:38:51    -1060.269132        0.051047
LBFGS:   48 11:38:51    -1060.269327        0.037592
LBFGS:   49 11:38:51    -1060.269505        0.031251
LBFGS:   50 11:38:51    -1060.269662        0.030783
LBFGS:   51 11:38:51    -1060.269828        0.041192
LBFGS:   52 11:38:51    -1060.270055        0.046885
LBFGS:   53 11:38:51    -1060.270299        0.040680
LBFGS:   54 11:38:51    -1060.270461        0.025523
LBFGS:   55 11:38:51    -1060.270563        0.025270
LBFGS:   56 11:38:51    -1060.270648        0.028566
LBFGS:   57 11:38:51    -1060.270716        0.022367
LBFGS:   58 11:38:51    -1060.270760        0.014932
LBFGS:   59 11:38:51    -1060.270786        0.008710
