       Step     Time          Energy          fmax
LBFGS:    0 11:38:55    -1059.835628        2.222555
LBFGS:    1 11:38:55    -1060.001147        1.050210
LBFGS:    2 11:38:55    -1060.058951        0.780228
LBFGS:    3 11:38:55    -1060.116008        0.698233
LBFGS:    4 11:38:55    -1060.150446        0.425077
LBFGS:    5 11:38:55    -1060.173708        0.337884
LBFGS:    6 11:38:55    -1060.192155        0.398045
LBFGS:    7 11:38:55    -1060.208103        0.419522
LBFGS:    8 11:38:55    -1060.218446        0.346164
LBFGS:    9 11:38:56    -1060.225451        0.226909
LBFGS:   10 11:38:56    -1060.231493        0.192282
LBFGS:   11 11:38:56    -1060.236655        0.231990
LBFGS:   12 11:38:56    -1060.241111        0.190131
LBFGS:   13 11:38:56    -1060.243882        0.118252
LBFGS:   14 11:38:56    -1060.245669        0.096790
LBFGS:   15 11:38:56    -1060.247215        0.096818
LBFGS:   16 11:38:56    -1060.248708        0.105143
LBFGS:   17 11:38:56    -1060.250184        0.104874
LBFGS:   18 11:38:56    -1060.251665        0.106231
LBFGS:   19 11:38:56    -1060.253116        0.092332
LBFGS:   20 11:38:56    -1060.254171        0.077885
LBFGS:   21 11:38:56    -1060.254870        0.062673
LBFGS:   22 11:38:56    -1060.255447        0.059362
LBFGS:   23 11:38:56    -1060.256145        0.077279
LBFGS:   24 11:38:56    -1060.256940        0.075475
LBFGS:   25 11:38:56    -1060.257656        0.056183
LBFGS:   26 11:38:56    -1060.258212        0.052245
LBFGS:   27 11:38:56    -1060.258681        0.061513
LBFGS:   28 11:38:56    -1060.259117        0.056762
LBFGS:   29 11:38:56    -1060.259536        0.048203
LBFGS:   30 11:38:56    -1060.259954        0.056677
LBFGS:   31 11:38:56    -1060.260405        0.056202
LBFGS:   32 11:38:56    -1060.260934        0.061178
LBFGS:   33 11:38:56    -1060.261567        0.055880
LBFGS:   34 11:38:56    -1060.262310        0.062015
LBFGS:   35 11:38:56    -1060.263146        0.070204
LBFGS:   36 11:38:56    -1060.263984        0.069646
LBFGS:   37 11:38:56    -1060.264707        0.052827
LBFGS:   38 11:38:56    -1060.265268        0.046297
LBFGS:   39 11:38:56    -1060.265723        0.057280
LBFGS:   40 11:38:56    -1060.266108        0.065074
LBFGS:   41 11:38:57    -1060.266428        0.056997
LBFGS:   42 11:38:57    -1060.266697        0.040670
LBFGS:   43 11:38:57    -1060.267003        0.043136
LBFGS:   44 11:38:57    -1060.267401        0.060880
LBFGS:   45 11:38:57    -1060.267725        0.048745
LBFGS:   46 11:38:57    -1060.267926        0.028780
LBFGS:   47 11:38:57    -1060.268094        0.030270
LBFGS:   48 11:38:57    -1060.268288        0.056448
LBFGS:   49 11:38:57    -1060.268531        0.060806
LBFGS:   50 11:38:57    -1060.268763        0.036579
LBFGS:   51 11:38:57    -1060.268936        0.027094
LBFGS:   52 11:38:57    -1060.269078        0.041450
LBFGS:   53 11:38:57    -1060.269258        0.063491
LBFGS:   54 11:38:57    -1060.269498        0.050362
LBFGS:   55 11:38:57    -1060.269752        0.036519
LBFGS:   56 11:38:57    -1060.269957        0.037435
LBFGS:   57 11:38:57    -1060.270115        0.043117
LBFGS:   58 11:38:57    -1060.270264        0.043754
LBFGS:   59 11:38:57    -1060.270415        0.031286
LBFGS:   60 11:38:57    -1060.270551        0.023982
LBFGS:   61 11:38:57    -1060.270639        0.026943
LBFGS:   62 11:38:57    -1060.270697        0.028057
LBFGS:   63 11:38:57    -1060.270748        0.018029
LBFGS:   64 11:38:57    -1060.270794        0.017335
LBFGS:   65 11:38:57    -1060.270831        0.015229
LBFGS:   66 11:38:57    -1060.270862        0.020375
LBFGS:   67 11:38:57    -1060.270889        0.015151
LBFGS:   68 11:38:57    -1060.270909        0.008859
