       Step     Time          Energy          fmax
LBFGS:    0 11:39:40    -1059.418857        4.325847
LBFGS:    1 11:39:40    -1059.519198        5.253703
LBFGS:    2 11:39:40    -1059.781557        0.846561
LBFGS:    3 11:39:40    -1059.808774        0.412120
LBFGS:    4 11:39:40    -1059.837944        0.716548
LBFGS:    5 11:39:40    -1059.850128        0.669529
LBFGS:    6 11:39:40    -1059.859870        0.282814
LBFGS:    7 11:39:40    -1059.866694        0.224533
LBFGS:    8 11:39:40    -1059.874453        0.317203
LBFGS:    9 11:39:40    -1059.878685        0.181584
LBFGS:   10 11:39:40    -1059.881788        0.135530
LBFGS:   11 11:39:40    -1059.883901        0.158381
LBFGS:   12 11:39:40    -1059.885570        0.159396
LBFGS:   13 11:39:40    -1059.886741        0.081077
LBFGS:   14 11:39:41    -1059.887894        0.115098
LBFGS:   15 11:39:41    -1059.889328        0.148515
LBFGS:   16 11:39:41    -1059.890938        0.163623
LBFGS:   17 11:39:41    -1059.892307        0.112555
LBFGS:   18 11:39:41    -1059.893357        0.076045
LBFGS:   19 11:39:41    -1059.894391        0.080635
LBFGS:   20 11:39:41    -1059.895663        0.134591
LBFGS:   21 11:39:41    -1059.897008        0.122038
LBFGS:   22 11:39:41    -1059.898101        0.069394
LBFGS:   23 11:39:41    -1059.898920        0.070246
LBFGS:   24 11:39:41    -1059.899654        0.081868
LBFGS:   25 11:39:41    -1059.900475        0.093955
LBFGS:   26 11:39:41    -1059.901373        0.073933
LBFGS:   27 11:39:41    -1059.902236        0.071325
LBFGS:   28 11:39:41    -1059.902965        0.069166
LBFGS:   29 11:39:41    -1059.903576        0.064438
LBFGS:   30 11:39:41    -1059.904111        0.059702
LBFGS:   31 11:39:41    -1059.904635        0.057176
LBFGS:   32 11:39:41    -1059.905196        0.065887
LBFGS:   33 11:39:41    -1059.905806        0.075644
LBFGS:   34 11:39:41    -1059.906405        0.062181
LBFGS:   35 11:39:41    -1059.906910        0.049418
LBFGS:   36 11:39:41    -1059.907267        0.046783
LBFGS:   37 11:39:41    -1059.907526        0.090468
LBFGS:   38 11:39:41    -1059.907768        0.045456
LBFGS:   39 11:39:41    -1059.908058        0.048634
LBFGS:   40 11:39:41    -1059.908409        0.052181
LBFGS:   41 11:39:41    -1059.908648        0.062841
LBFGS:   42 11:39:41    -1059.908867        0.048360
LBFGS:   43 11:39:41    -1059.909042        0.039649
LBFGS:   44 11:39:41    -1059.909253        0.050981
LBFGS:   45 11:39:41    -1059.909508        0.051838
LBFGS:   46 11:39:41    -1059.909797        0.055012
LBFGS:   47 11:39:42    -1059.910100        0.056901
LBFGS:   48 11:39:42    -1059.910431        0.044545
LBFGS:   49 11:39:42    -1059.910770        0.044174
LBFGS:   50 11:39:42    -1059.911049        0.037428
LBFGS:   51 11:39:42    -1059.911253        0.038045
LBFGS:   52 11:39:42    -1059.911445        0.047451
LBFGS:   53 11:39:42    -1059.911690        0.034451
LBFGS:   54 11:39:42    -1059.911971        0.050817
LBFGS:   55 11:39:42    -1059.912202        0.054367
LBFGS:   56 11:39:42    -1059.912359        0.052808
LBFGS:   57 11:39:42    -1059.912478        0.031904
LBFGS:   58 11:39:42    -1059.912571        0.021891
LBFGS:   59 11:39:42    -1059.912630        0.020342
LBFGS:   60 11:39:42    -1059.912696        0.019490
LBFGS:   61 11:39:42    -1059.912756        0.023840
LBFGS:   62 11:39:42    -1059.912826        0.024668
LBFGS:   63 11:39:42    -1059.912888        0.019071
LBFGS:   64 11:39:42    -1059.912930        0.018405
LBFGS:   65 11:39:42    -1059.912959        0.015794
LBFGS:   66 11:39:42    -1059.912986        0.011467
LBFGS:   67 11:39:42    -1059.913015        0.014007
LBFGS:   68 11:39:42    -1059.913043        0.016821
LBFGS:   69 11:39:42    -1059.913071        0.013291
LBFGS:   70 11:39:42    -1059.913102        0.015288
LBFGS:   71 11:39:42    -1059.913139        0.017325
LBFGS:   72 11:39:42    -1059.913179        0.016579
LBFGS:   73 11:39:42    -1059.913223        0.017413
LBFGS:   74 11:39:42    -1059.913267        0.015572
LBFGS:   75 11:39:42    -1059.913310        0.016325
LBFGS:   76 11:39:42    -1059.913350        0.012887
LBFGS:   77 11:39:42    -1059.913383        0.013909
LBFGS:   78 11:39:42    -1059.913410        0.012791
LBFGS:   79 11:39:42    -1059.913432        0.011467
LBFGS:   80 11:39:43    -1059.913450        0.009611
