       Step     Time          Energy          fmax
LBFGS:    0 11:39:43    -1059.272856        2.748708
LBFGS:    1 11:39:43    -1059.481209        2.862353
LBFGS:    2 11:39:43    -1059.630329        0.868050
LBFGS:    3 11:39:43    -1059.706348        0.762932
LBFGS:    4 11:39:43    -1059.742638        0.652479
LBFGS:    5 11:39:43    -1059.765245        0.571293
LBFGS:    6 11:39:43    -1059.788558        0.600452
LBFGS:    7 11:39:43    -1059.808460        0.305695
LBFGS:    8 11:39:43    -1059.815458        0.199871
LBFGS:    9 11:39:43    -1059.821704        0.258764
LBFGS:   10 11:39:43    -1059.828976        0.346873
LBFGS:   11 11:39:43    -1059.837377        0.317041
LBFGS:   12 11:39:43    -1059.846558        0.226212
LBFGS:   13 11:39:43    -1059.856000        0.210204
LBFGS:   14 11:39:43    -1059.864002        0.209731
LBFGS:   15 11:39:43    -1059.869485        0.158333
LBFGS:   16 11:39:43    -1059.873713        0.134149
LBFGS:   17 11:39:43    -1059.877674        0.130094
LBFGS:   18 11:39:43    -1059.881006        0.151028
LBFGS:   19 11:39:43    -1059.883508        0.138658
LBFGS:   20 11:39:43    -1059.885679        0.117923
LBFGS:   21 11:39:43    -1059.887967        0.168295
LBFGS:   22 11:39:43    -1059.890436        0.180272
LBFGS:   23 11:39:43    -1059.892880        0.120997
LBFGS:   24 11:39:43    -1059.895190        0.106077
LBFGS:   25 11:39:43    -1059.897524        0.108691
LBFGS:   26 11:39:43    -1059.900063        0.180708
LBFGS:   27 11:39:43    -1059.902493        0.180945
LBFGS:   28 11:39:43    -1059.904266        0.094628
LBFGS:   29 11:39:43    -1059.905349        0.094237
LBFGS:   30 11:39:43    -1059.906001        0.079617
LBFGS:   31 11:39:44    -1059.906546        0.079843
LBFGS:   32 11:39:44    -1059.907058        0.070385
LBFGS:   33 11:39:44    -1059.907517        0.048393
LBFGS:   34 11:39:44    -1059.907898        0.055249
LBFGS:   35 11:39:44    -1059.908196        0.055675
LBFGS:   36 11:39:44    -1059.908433        0.048899
LBFGS:   37 11:39:44    -1059.908666        0.036087
LBFGS:   38 11:39:44    -1059.908937        0.043936
LBFGS:   39 11:39:44    -1059.909246        0.046557
LBFGS:   40 11:39:44    -1059.909513        0.034195
LBFGS:   41 11:39:44    -1059.909684        0.028849
LBFGS:   42 11:39:44    -1059.909804        0.024171
LBFGS:   43 11:39:44    -1059.909944        0.029172
LBFGS:   44 11:39:44    -1059.910145        0.036827
LBFGS:   45 11:39:44    -1059.910402        0.039889
LBFGS:   46 11:39:44    -1059.910673        0.047073
LBFGS:   47 11:39:44    -1059.910934        0.041885
LBFGS:   48 11:39:44    -1059.911205        0.040006
LBFGS:   49 11:39:44    -1059.911488        0.048922
LBFGS:   50 11:39:44    -1059.911757        0.038695
LBFGS:   51 11:39:44    -1059.911959        0.036082
LBFGS:   52 11:39:44    -1059.912115        0.029771
LBFGS:   53 11:39:44    -1059.912230        0.029989
LBFGS:   54 11:39:44    -1059.912343        0.022419
LBFGS:   55 11:39:44    -1059.912444        0.026321
LBFGS:   56 11:39:44    -1059.912558        0.027184
LBFGS:   57 11:39:44    -1059.912673        0.023030
LBFGS:   58 11:39:44    -1059.912780        0.024860
LBFGS:   59 11:39:44    -1059.912860        0.020809
LBFGS:   60 11:39:44    -1059.912924        0.016167
LBFGS:   61 11:39:44    -1059.912984        0.019340
LBFGS:   62 11:39:44    -1059.913042        0.021524
LBFGS:   63 11:39:45    -1059.913098        0.020987
LBFGS:   64 11:39:45    -1059.913153        0.018655
LBFGS:   65 11:39:45    -1059.913207        0.017285
LBFGS:   66 11:39:45    -1059.913254        0.018223
LBFGS:   67 11:39:45    -1059.913296        0.013501
LBFGS:   68 11:39:45    -1059.913343        0.015423
LBFGS:   69 11:39:45    -1059.913404        0.020637
LBFGS:   70 11:39:45    -1059.913475        0.020877
LBFGS:   71 11:39:45    -1059.913537        0.020826
LBFGS:   72 11:39:45    -1059.913589        0.018261
LBFGS:   73 11:39:45    -1059.913643        0.019105
LBFGS:   74 11:39:45    -1059.913707        0.018415
LBFGS:   75 11:39:45    -1059.913773        0.017514
LBFGS:   76 11:39:45    -1059.913826        0.021254
LBFGS:   77 11:39:45    -1059.913861        0.013332
LBFGS:   78 11:39:45    -1059.913884        0.015299
LBFGS:   79 11:39:45    -1059.913897        0.007036
