       Step     Time          Energy          fmax
LBFGS:    0 11:39:48    -1059.007745        4.121465
LBFGS:    1 11:39:48    -1059.352928        3.446568
LBFGS:    2 11:39:48    -1059.544392        0.860819
LBFGS:    3 11:39:48    -1059.628348        0.938730
LBFGS:    4 11:39:48    -1059.687384        0.928355
LBFGS:    5 11:39:48    -1059.736533        0.812976
LBFGS:    6 11:39:48    -1059.779201        0.458420
LBFGS:    7 11:39:48    -1059.826424        0.476128
LBFGS:    8 11:39:48    -1059.845951        0.361448
LBFGS:    9 11:39:48    -1059.862078        0.275107
LBFGS:   10 11:39:48    -1059.872247        0.270213
LBFGS:   11 11:39:48    -1059.880765        0.253462
LBFGS:   12 11:39:48    -1059.885467        0.167589
LBFGS:   13 11:39:48    -1059.888017        0.148228
LBFGS:   14 11:39:48    -1059.889834        0.111557
LBFGS:   15 11:39:48    -1059.891456        0.129348
LBFGS:   16 11:39:48    -1059.892796        0.084883
LBFGS:   17 11:39:48    -1059.893853        0.084294
LBFGS:   18 11:39:48    -1059.894859        0.084941
LBFGS:   19 11:39:48    -1059.896005        0.119296
LBFGS:   20 11:39:48    -1059.897296        0.145336
LBFGS:   21 11:39:48    -1059.898610        0.124057
LBFGS:   22 11:39:48    -1059.899956        0.127210
LBFGS:   23 11:39:48    -1059.901345        0.142727
LBFGS:   24 11:39:49    -1059.902830        0.118956
LBFGS:   25 11:39:49    -1059.904177        0.086103
LBFGS:   26 11:39:49    -1059.905319        0.068536
LBFGS:   27 11:39:49    -1059.906228        0.063487
LBFGS:   28 11:39:49    -1059.906966        0.063908
LBFGS:   29 11:39:49    -1059.907605        0.050115
LBFGS:   30 11:39:49    -1059.908265        0.056185
LBFGS:   31 11:39:49    -1059.908999        0.058383
LBFGS:   32 11:39:49    -1059.909726        0.059573
LBFGS:   33 11:39:49    -1059.910253        0.059228
LBFGS:   34 11:39:49    -1059.910605        0.051033
LBFGS:   35 11:39:49    -1059.910914        0.044968
LBFGS:   36 11:39:49    -1059.911251        0.060739
LBFGS:   37 11:39:49    -1059.911566        0.045651
LBFGS:   38 11:39:49    -1059.911784        0.027726
LBFGS:   39 11:39:49    -1059.911874        0.022948
LBFGS:   40 11:39:49    -1059.911954        0.026057
LBFGS:   41 11:39:49    -1059.912034        0.021394
LBFGS:   42 11:39:49    -1059.912118        0.020716
LBFGS:   43 11:39:49    -1059.912199        0.019690
LBFGS:   44 11:39:49    -1059.912272        0.019391
LBFGS:   45 11:39:49    -1059.912336        0.019989
LBFGS:   46 11:39:49    -1059.912405        0.025960
LBFGS:   47 11:39:49    -1059.912497        0.030895
LBFGS:   48 11:39:49    -1059.912613        0.028801
LBFGS:   49 11:39:49    -1059.912728        0.021499
LBFGS:   50 11:39:49    -1059.912811        0.022414
LBFGS:   51 11:39:49    -1059.912866        0.022680
LBFGS:   52 11:39:49    -1059.912919        0.022139
LBFGS:   53 11:39:49    -1059.912987        0.020575
LBFGS:   54 11:39:49    -1059.913076        0.020124
LBFGS:   55 11:39:49    -1059.913185        0.029426
LBFGS:   56 11:39:50    -1059.913305        0.027444
LBFGS:   57 11:39:50    -1059.913424        0.025582
LBFGS:   58 11:39:50    -1059.913525        0.021539
LBFGS:   59 11:39:50    -1059.913599        0.020568
LBFGS:   60 11:39:50    -1059.913652        0.032895
LBFGS:   61 11:39:50    -1059.913702        0.015773
LBFGS:   62 11:39:50    -1059.913750        0.020592
LBFGS:   63 11:39:50    -1059.913794        0.018304
LBFGS:   64 11:39:50    -1059.913827        0.016778
LBFGS:   65 11:39:50    -1059.913856        0.010200
LBFGS:   66 11:39:50    -1059.913878        0.011512
LBFGS:   67 11:39:50    -1059.913895        0.011899
LBFGS:   68 11:39:50    -1059.913913        0.015625
LBFGS:   69 11:39:50    -1059.913937        0.016353
LBFGS:   70 11:39:50    -1059.913966        0.012677
LBFGS:   71 11:39:50    -1059.913991        0.009608
