       Step     Time          Energy          fmax
LBFGS:    0 11:39:08    -1059.381138        5.880704
LBFGS:    1 11:39:08    -1059.565581        5.189428
LBFGS:    2 11:39:08    -1060.034024        1.290468
LBFGS:    3 11:39:08    -1060.104443        0.853688
LBFGS:    4 11:39:08    -1060.141196        0.730128
LBFGS:    5 11:39:08    -1060.183276        0.461377
LBFGS:    6 11:39:08    -1060.192654        0.477391
LBFGS:    7 11:39:08    -1060.205558        0.274324
LBFGS:    8 11:39:08    -1060.220270        0.191258
LBFGS:    9 11:39:08    -1060.223262        0.199618
LBFGS:   10 11:39:08    -1060.227476        0.158577
LBFGS:   11 11:39:08    -1060.230336        0.131252
LBFGS:   12 11:39:08    -1060.232762        0.105201
LBFGS:   13 11:39:08    -1060.235135        0.131315
LBFGS:   14 11:39:08    -1060.237612        0.118774
LBFGS:   15 11:39:08    -1060.239982        0.125502
LBFGS:   16 11:39:08    -1060.242143        0.100068
LBFGS:   17 11:39:08    -1060.244199        0.122312
LBFGS:   18 11:39:08    -1060.246231        0.129869
LBFGS:   19 11:39:08    -1060.248044        0.092370
LBFGS:   20 11:39:08    -1060.249416        0.069679
LBFGS:   21 11:39:08    -1060.250469        0.068281
LBFGS:   22 11:39:08    -1060.251563        0.087157
LBFGS:   23 11:39:08    -1060.252856        0.078851
LBFGS:   24 11:39:08    -1060.254108        0.079886
LBFGS:   25 11:39:08    -1060.255111        0.076509
LBFGS:   26 11:39:08    -1060.255938        0.081742
LBFGS:   27 11:39:08    -1060.256732        0.085473
LBFGS:   28 11:39:08    -1060.257537        0.074861
LBFGS:   29 11:39:09    -1060.258377        0.073914
LBFGS:   30 11:39:09    -1060.259331        0.084975
LBFGS:   31 11:39:09    -1060.260411        0.083995
LBFGS:   32 11:39:09    -1060.261406        0.076630
LBFGS:   33 11:39:09    -1060.262081        0.053631
LBFGS:   34 11:39:09    -1060.262513        0.047784
LBFGS:   35 11:39:09    -1060.262910        0.050135
LBFGS:   36 11:39:09    -1060.263336        0.051904
LBFGS:   37 11:39:09    -1060.263713        0.047870
LBFGS:   38 11:39:09    -1060.264016        0.040194
LBFGS:   39 11:39:09    -1060.264276        0.063622
LBFGS:   40 11:39:09    -1060.264516        0.038981
LBFGS:   41 11:39:09    -1060.264721        0.037512
LBFGS:   42 11:39:09    -1060.264901        0.039198
LBFGS:   43 11:39:09    -1060.265108        0.047514
LBFGS:   44 11:39:09    -1060.265473        0.051478
LBFGS:   45 11:39:09    -1060.266024        0.065849
LBFGS:   46 11:39:09    -1060.266672        0.069217
LBFGS:   47 11:39:09    -1060.267262        0.066311
LBFGS:   48 11:39:09    -1060.267813        0.062358
LBFGS:   49 11:39:09    -1060.268428        0.072264
LBFGS:   50 11:39:09    -1060.269103        0.068680
LBFGS:   51 11:39:09    -1060.269602        0.049011
LBFGS:   52 11:39:09    -1060.269853        0.043183
LBFGS:   53 11:39:09    -1060.269977        0.056669
LBFGS:   54 11:39:09    -1060.270153        0.034502
LBFGS:   55 11:39:09    -1060.270366        0.035580
LBFGS:   56 11:39:09    -1060.270521        0.029458
LBFGS:   57 11:39:09    -1060.270625        0.021591
LBFGS:   58 11:39:09    -1060.270682        0.019386
LBFGS:   59 11:39:09    -1060.270718        0.019132
LBFGS:   60 11:39:09    -1060.270739        0.010482
LBFGS:   61 11:39:09    -1060.270752        0.008477
