       Step     Time          Energy          fmax
LBFGS:    0 11:39:45    -1058.634348        3.979632
LBFGS:    1 11:39:45    -1059.232509        5.064093
LBFGS:    2 11:39:45    -1059.450026        1.939968
LBFGS:    3 11:39:45    -1059.565446        0.806205
LBFGS:    4 11:39:45    -1059.635564        0.683051
LBFGS:    5 11:39:45    -1059.687410        0.635169
LBFGS:    6 11:39:45    -1059.737184        0.553047
LBFGS:    7 11:39:45    -1059.768026        0.453019
LBFGS:    8 11:39:45    -1059.783258        0.483335
LBFGS:    9 11:39:45    -1059.792174        0.267081
LBFGS:   10 11:39:45    -1059.799020        0.238183
LBFGS:   11 11:39:45    -1059.808096        0.235951
LBFGS:   12 11:39:45    -1059.813622        0.251156
LBFGS:   13 11:39:45    -1059.821063        0.218379
LBFGS:   14 11:39:45    -1059.827864        0.192980
LBFGS:   15 11:39:46    -1059.835985        0.201043
LBFGS:   16 11:39:46    -1059.843635        0.196255
LBFGS:   17 11:39:46    -1059.850731        0.215763
LBFGS:   18 11:39:46    -1059.857568        0.234638
LBFGS:   19 11:39:46    -1059.864590        0.176807
LBFGS:   20 11:39:46    -1059.870337        0.194280
LBFGS:   21 11:39:46    -1059.873741        0.143720
LBFGS:   22 11:39:46    -1059.875694        0.086994
LBFGS:   23 11:39:46    -1059.877333        0.096666
LBFGS:   24 11:39:46    -1059.879158        0.107977
LBFGS:   25 11:39:46    -1059.880939        0.090936
LBFGS:   26 11:39:46    -1059.882296        0.066955
LBFGS:   27 11:39:46    -1059.883265        0.072160
LBFGS:   28 11:39:46    -1059.884117        0.068217
LBFGS:   29 11:39:46    -1059.884958        0.072137
LBFGS:   30 11:39:46    -1059.885693        0.065475
LBFGS:   31 11:39:46    -1059.886318        0.051613
LBFGS:   32 11:39:46    -1059.886930        0.050167
LBFGS:   33 11:39:46    -1059.887583        0.053599
LBFGS:   34 11:39:46    -1059.888226        0.052816
LBFGS:   35 11:39:46    -1059.888819        0.059818
LBFGS:   36 11:39:46    -1059.889389        0.056114
LBFGS:   37 11:39:46    -1059.889966        0.060537
LBFGS:   38 11:39:46    -1059.890507        0.067372
LBFGS:   39 11:39:46    -1059.890945        0.049419
LBFGS:   40 11:39:46    -1059.891300        0.039212
LBFGS:   41 11:39:46    -1059.891649        0.047847
LBFGS:   42 11:39:46    -1059.892045        0.050176
LBFGS:   43 11:39:46    -1059.892484        0.057966
LBFGS:   44 11:39:46    -1059.892948        0.046663
LBFGS:   45 11:39:46    -1059.893456        0.050583
LBFGS:   46 11:39:46    -1059.894059        0.066392
LBFGS:   47 11:39:47    -1059.894838        0.091989
LBFGS:   48 11:39:47    -1059.895930        0.109115
LBFGS:   49 11:39:47    -1059.897482        0.108062
LBFGS:   50 11:39:47    -1059.899390        0.107515
LBFGS:   51 11:39:47    -1059.901302        0.099526
LBFGS:   52 11:39:47    -1059.902834        0.136797
LBFGS:   53 11:39:47    -1059.903348        0.132233
LBFGS:   54 11:39:47    -1059.904268        0.161677
LBFGS:   55 11:39:47    -1059.904908        0.107401
LBFGS:   56 11:39:47    -1059.906280        0.060164
LBFGS:   57 11:39:47    -1059.907478        0.095540
LBFGS:   58 11:39:47    -1059.908740        0.135501
LBFGS:   59 11:39:47    -1059.909226        0.147949
LBFGS:   60 11:39:47    -1059.909556        0.058141
LBFGS:   61 11:39:47    -1059.909774        0.049421
LBFGS:   62 11:39:47    -1059.909977        0.031858
LBFGS:   63 11:39:47    -1059.910278        0.036716
LBFGS:   64 11:39:47    -1059.910481        0.041269
LBFGS:   65 11:39:47    -1059.910717        0.039047
LBFGS:   66 11:39:47    -1059.910876        0.028909
LBFGS:   67 11:39:47    -1059.911022        0.031537
LBFGS:   68 11:39:47    -1059.911153        0.043380
LBFGS:   69 11:39:47    -1059.911308        0.034983
LBFGS:   70 11:39:47    -1059.911454        0.031249
LBFGS:   71 11:39:47    -1059.911611        0.037175
LBFGS:   72 11:39:47    -1059.911802        0.041601
LBFGS:   73 11:39:47    -1059.912053        0.049161
LBFGS:   74 11:39:47    -1059.912273        0.032994
LBFGS:   75 11:39:47    -1059.912393        0.019319
LBFGS:   76 11:39:47    -1059.912449        0.037834
LBFGS:   77 11:39:47    -1059.912504        0.027031
LBFGS:   78 11:39:47    -1059.912569        0.032813
LBFGS:   79 11:39:48    -1059.912647        0.024456
LBFGS:   80 11:39:48    -1059.912683        0.017842
LBFGS:   81 11:39:48    -1059.912719        0.015949
LBFGS:   82 11:39:48    -1059.912757        0.017210
LBFGS:   83 11:39:48    -1059.912793        0.012998
LBFGS:   84 11:39:48    -1059.912821        0.011898
LBFGS:   85 11:39:48    -1059.912845        0.013682
LBFGS:   86 11:39:48    -1059.912863        0.013128
LBFGS:   87 11:39:48    -1059.912876        0.008928
