       Step     Time          Energy          fmax
LBFGS:    0 11:38:57    -1059.434706        4.283893
LBFGS:    1 11:38:57    -1059.769682        3.877376
LBFGS:    2 11:38:57    -1060.033664        1.019493
LBFGS:    3 11:38:57    -1060.087322        0.599541
LBFGS:    4 11:38:57    -1060.134688        0.576361
LBFGS:    5 11:38:58    -1060.178514        0.421673
LBFGS:    6 11:38:58    -1060.194551        0.415792
LBFGS:    7 11:38:58    -1060.205090        0.301661
LBFGS:    8 11:38:58    -1060.211535        0.249761
LBFGS:    9 11:38:58    -1060.216396        0.157628
LBFGS:   10 11:38:58    -1060.221717        0.173135
LBFGS:   11 11:38:58    -1060.226429        0.169701
LBFGS:   12 11:38:58    -1060.231155        0.164127
LBFGS:   13 11:38:58    -1060.234514        0.158507
LBFGS:   14 11:38:58    -1060.237145        0.149390
LBFGS:   15 11:38:58    -1060.239692        0.129550
LBFGS:   16 11:38:58    -1060.242434        0.121125
LBFGS:   17 11:38:58    -1060.245015        0.110488
LBFGS:   18 11:38:58    -1060.247404        0.135275
LBFGS:   19 11:38:58    -1060.249877        0.126667
LBFGS:   20 11:38:58    -1060.252345        0.110809
LBFGS:   21 11:38:58    -1060.254113        0.079912
LBFGS:   22 11:38:58    -1060.255092        0.077218
LBFGS:   23 11:38:58    -1060.255779        0.086611
LBFGS:   24 11:38:58    -1060.256525        0.072257
LBFGS:   25 11:38:58    -1060.257352        0.075299
LBFGS:   26 11:38:58    -1060.258126        0.059336
LBFGS:   27 11:38:58    -1060.258833        0.078824
LBFGS:   28 11:38:58    -1060.259570        0.085926
LBFGS:   29 11:38:58    -1060.260399        0.069763
LBFGS:   30 11:38:58    -1060.261268        0.079732
LBFGS:   31 11:38:58    -1060.262122        0.096530
LBFGS:   32 11:38:58    -1060.262962        0.080977
LBFGS:   33 11:38:58    -1060.263761        0.080978
LBFGS:   34 11:38:58    -1060.264418        0.061363
LBFGS:   35 11:38:58    -1060.264894        0.042707
LBFGS:   36 11:38:58    -1060.265269        0.045631
LBFGS:   37 11:38:59    -1060.265630        0.042976
LBFGS:   38 11:38:59    -1060.265980        0.049677
LBFGS:   39 11:38:59    -1060.266258        0.041634
LBFGS:   40 11:38:59    -1060.266448        0.033690
LBFGS:   41 11:38:59    -1060.266590        0.034806
LBFGS:   42 11:38:59    -1060.266729        0.031328
LBFGS:   43 11:38:59    -1060.266884        0.032375
LBFGS:   44 11:38:59    -1060.267044        0.034618
LBFGS:   45 11:38:59    -1060.267193        0.027049
LBFGS:   46 11:38:59    -1060.267327        0.024535
LBFGS:   47 11:38:59    -1060.267459        0.034374
LBFGS:   48 11:38:59    -1060.267616        0.049527
LBFGS:   49 11:38:59    -1060.267837        0.059755
LBFGS:   50 11:38:59    -1060.268170        0.057296
LBFGS:   51 11:38:59    -1060.268630        0.052393
LBFGS:   52 11:38:59    -1060.269140        0.050339
LBFGS:   53 11:38:59    -1060.269557        0.039633
LBFGS:   54 11:38:59    -1060.269812        0.044250
LBFGS:   55 11:38:59    -1060.269986        0.035098
LBFGS:   56 11:38:59    -1060.270165        0.029905
LBFGS:   57 11:38:59    -1060.270333        0.024685
LBFGS:   58 11:38:59    -1060.270452        0.049731
LBFGS:   59 11:38:59    -1060.270533        0.017807
LBFGS:   60 11:38:59    -1060.270572        0.011556
LBFGS:   61 11:38:59    -1060.270590        0.011134
LBFGS:   62 11:38:59    -1060.270619        0.011654
LBFGS:   63 11:38:59    -1060.270649        0.014783
LBFGS:   64 11:38:59    -1060.270688        0.016382
LBFGS:   65 11:38:59    -1060.270723        0.017164
LBFGS:   66 11:38:59    -1060.270750        0.011786
LBFGS:   67 11:38:59    -1060.270768        0.010269
LBFGS:   68 11:38:59    -1060.270785        0.009928
