       Step     Time          Energy          fmax
LBFGS:    0 11:39:35    -1058.759206        3.888978
LBFGS:    1 11:39:36    -1059.269502        3.376800
LBFGS:    2 11:39:36    -1059.474224        1.640715
LBFGS:    3 11:39:36    -1059.583190        1.277794
LBFGS:    4 11:39:36    -1059.655575        0.711725
LBFGS:    5 11:39:36    -1059.710780        0.389009
LBFGS:    6 11:39:36    -1059.727837        0.435435
LBFGS:    7 11:39:36    -1059.755243        0.455542
LBFGS:    8 11:39:36    -1059.776798        0.500451
LBFGS:    9 11:39:36    -1059.794165        0.352693
LBFGS:   10 11:39:36    -1059.806161        0.223903
LBFGS:   11 11:39:36    -1059.815044        0.256003
LBFGS:   12 11:39:36    -1059.823813        0.227420
LBFGS:   13 11:39:36    -1059.831630        0.245049
LBFGS:   14 11:39:36    -1059.839114        0.218445
LBFGS:   15 11:39:36    -1059.846822        0.275678
LBFGS:   16 11:39:36    -1059.854180        0.302658
LBFGS:   17 11:39:36    -1059.859961        0.213731
LBFGS:   18 11:39:36    -1059.864734        0.194259
LBFGS:   19 11:39:36    -1059.869163        0.160781
LBFGS:   20 11:39:36    -1059.873081        0.214529
LBFGS:   21 11:39:36    -1059.875960        0.201595
LBFGS:   22 11:39:36    -1059.878501        0.155251
LBFGS:   23 11:39:36    -1059.881204        0.132176
LBFGS:   24 11:39:36    -1059.884586        0.159944
LBFGS:   25 11:39:36    -1059.888080        0.166448
LBFGS:   26 11:39:36    -1059.891820        0.171953
LBFGS:   27 11:39:36    -1059.895722        0.174187
LBFGS:   28 11:39:36    -1059.899236        0.139930
LBFGS:   29 11:39:36    -1059.901561        0.120201
LBFGS:   30 11:39:36    -1059.902958        0.085505
LBFGS:   31 11:39:36    -1059.904123        0.081120
LBFGS:   32 11:39:36    -1059.905506        0.083598
LBFGS:   33 11:39:37    -1059.906865        0.083980
LBFGS:   34 11:39:37    -1059.907950        0.083293
LBFGS:   35 11:39:37    -1059.908862        0.071458
LBFGS:   36 11:39:37    -1059.909777        0.074543
LBFGS:   37 11:39:37    -1059.910567        0.072563
LBFGS:   38 11:39:37    -1059.911048        0.049785
LBFGS:   39 11:39:37    -1059.911296        0.033759
LBFGS:   40 11:39:37    -1059.911467        0.030241
LBFGS:   41 11:39:37    -1059.911612        0.032047
LBFGS:   42 11:39:37    -1059.911731        0.026609
LBFGS:   43 11:39:37    -1059.911840        0.025908
LBFGS:   44 11:39:37    -1059.911991        0.031031
LBFGS:   45 11:39:37    -1059.912190        0.037785
LBFGS:   46 11:39:37    -1059.912378        0.032017
LBFGS:   47 11:39:37    -1059.912508        0.033130
LBFGS:   48 11:39:37    -1059.912614        0.030120
LBFGS:   49 11:39:37    -1059.912756        0.038220
LBFGS:   50 11:39:37    -1059.912955        0.041178
LBFGS:   51 11:39:37    -1059.913167        0.030962
LBFGS:   52 11:39:37    -1059.913330        0.024697
LBFGS:   53 11:39:37    -1059.913444        0.026919
LBFGS:   54 11:39:37    -1059.913543        0.030595
LBFGS:   55 11:39:37    -1059.913635        0.023531
LBFGS:   56 11:39:37    -1059.913705        0.016906
LBFGS:   57 11:39:37    -1059.913761        0.017983
LBFGS:   58 11:39:37    -1059.913821        0.018743
LBFGS:   59 11:39:37    -1059.913893        0.021206
LBFGS:   60 11:39:37    -1059.913962        0.015808
LBFGS:   61 11:39:37    -1059.914013        0.014981
LBFGS:   62 11:39:37    -1059.914055        0.013145
LBFGS:   63 11:39:37    -1059.914109        0.016794
LBFGS:   64 11:39:37    -1059.914187        0.020948
LBFGS:   65 11:39:38    -1059.914287        0.025229
LBFGS:   66 11:39:38    -1059.914386        0.024274
LBFGS:   67 11:39:38    -1059.914466        0.020466
LBFGS:   68 11:39:38    -1059.914529        0.020199
LBFGS:   69 11:39:38    -1059.914586        0.017614
LBFGS:   70 11:39:38    -1059.914651        0.020704
LBFGS:   71 11:39:38    -1059.914738        0.023179
LBFGS:   72 11:39:38    -1059.914859        0.029416
LBFGS:   73 11:39:38    -1059.915006        0.029678
LBFGS:   74 11:39:38    -1059.915134        0.026385
LBFGS:   75 11:39:38    -1059.915219        0.019113
LBFGS:   76 11:39:38    -1059.915282        0.016186
LBFGS:   77 11:39:38    -1059.915344        0.016117
LBFGS:   78 11:39:38    -1059.915398        0.019113
LBFGS:   79 11:39:38    -1059.915434        0.013796
LBFGS:   80 11:39:38    -1059.915455        0.012830
LBFGS:   81 11:39:38    -1059.915469        0.007576
