       Step     Time          Energy          fmax
LBFGS:    0 11:39:53    -1059.327533        4.079904
LBFGS:    1 11:39:53    -1059.577969        3.922805
LBFGS:    2 11:39:53    -1059.695613        1.328432
LBFGS:    3 11:39:53    -1059.758892        0.735978
LBFGS:    4 11:39:53    -1059.804921        0.350503
LBFGS:    5 11:39:53    -1059.816453        0.264500
LBFGS:    6 11:39:53    -1059.827682        0.298613
LBFGS:    7 11:39:54    -1059.840025        0.390148
LBFGS:    8 11:39:54    -1059.851607        0.355014
LBFGS:    9 11:39:54    -1059.859145        0.185100
LBFGS:   10 11:39:54    -1059.863961        0.153116
LBFGS:   11 11:39:54    -1059.868709        0.193433
LBFGS:   12 11:39:54    -1059.873501        0.177237
LBFGS:   13 11:39:54    -1059.876764        0.132431
LBFGS:   14 11:39:54    -1059.879193        0.110522
LBFGS:   15 11:39:54    -1059.881610        0.117449
LBFGS:   16 11:39:54    -1059.884078        0.126110
LBFGS:   17 11:39:54    -1059.885992        0.110020
LBFGS:   18 11:39:54    -1059.887553        0.074296
LBFGS:   19 11:39:54    -1059.889347        0.100173
LBFGS:   20 11:39:54    -1059.891658        0.106565
LBFGS:   21 11:39:54    -1059.894028        0.108401
LBFGS:   22 11:39:54    -1059.895874        0.115986
LBFGS:   23 11:39:54    -1059.897273        0.101985
LBFGS:   24 11:39:54    -1059.898726        0.096912
LBFGS:   25 11:39:54    -1059.900450        0.100902
LBFGS:   26 11:39:54    -1059.902152        0.102972
LBFGS:   27 11:39:54    -1059.903558        0.081098
LBFGS:   28 11:39:54    -1059.904710        0.086810
LBFGS:   29 11:39:54    -1059.905678        0.076015
LBFGS:   30 11:39:54    -1059.906464        0.073777
LBFGS:   31 11:39:54    -1059.907106        0.064792
LBFGS:   32 11:39:54    -1059.907735        0.068035
LBFGS:   33 11:39:54    -1059.908427        0.065739
LBFGS:   34 11:39:54    -1059.909044        0.054730
LBFGS:   35 11:39:54    -1059.909454        0.048183
LBFGS:   36 11:39:54    -1059.909711        0.037604
LBFGS:   37 11:39:54    -1059.909917        0.036282
LBFGS:   38 11:39:54    -1059.910123        0.039879
LBFGS:   39 11:39:55    -1059.910339        0.043103
LBFGS:   40 11:39:55    -1059.910549        0.031128
LBFGS:   41 11:39:55    -1059.910720        0.034365
LBFGS:   42 11:39:55    -1059.910834        0.030219
LBFGS:   43 11:39:55    -1059.910916        0.023179
LBFGS:   44 11:39:55    -1059.911000        0.024645
LBFGS:   45 11:39:55    -1059.911110        0.028377
LBFGS:   46 11:39:55    -1059.911246        0.038500
LBFGS:   47 11:39:55    -1059.911382        0.035985
LBFGS:   48 11:39:55    -1059.911513        0.028268
LBFGS:   49 11:39:55    -1059.911659        0.034736
LBFGS:   50 11:39:55    -1059.911840        0.035110
LBFGS:   51 11:39:55    -1059.912042        0.029999
LBFGS:   52 11:39:55    -1059.912224        0.028587
LBFGS:   53 11:39:55    -1059.912379        0.027726
LBFGS:   54 11:39:55    -1059.912526        0.034668
LBFGS:   55 11:39:55    -1059.912681        0.032102
LBFGS:   56 11:39:55    -1059.912837        0.035658
LBFGS:   57 11:39:55    -1059.912964        0.025007
LBFGS:   58 11:39:55    -1059.913050        0.047439
LBFGS:   59 11:39:55    -1059.913128        0.019657
LBFGS:   60 11:39:55    -1059.913201        0.022242
LBFGS:   61 11:39:55    -1059.913293        0.021839
LBFGS:   62 11:39:55    -1059.913357        0.020552
LBFGS:   63 11:39:55    -1059.913430        0.022132
LBFGS:   64 11:39:55    -1059.913484        0.017939
LBFGS:   65 11:39:55    -1059.913530        0.014518
LBFGS:   66 11:39:55    -1059.913566        0.011077
LBFGS:   67 11:39:55    -1059.913593        0.012069
LBFGS:   68 11:39:55    -1059.913611        0.013340
LBFGS:   69 11:39:55    -1059.913630        0.013972
LBFGS:   70 11:39:55    -1059.913660        0.013812
LBFGS:   71 11:39:55    -1059.913703        0.017956
LBFGS:   72 11:39:56    -1059.913751        0.019674
LBFGS:   73 11:39:56    -1059.913788        0.016847
LBFGS:   74 11:39:56    -1059.913813        0.011616
LBFGS:   75 11:39:56    -1059.913835        0.010961
LBFGS:   76 11:39:56    -1059.913861        0.013224
LBFGS:   77 11:39:56    -1059.913889        0.012782
LBFGS:   78 11:39:56    -1059.913911        0.010970
LBFGS:   79 11:39:56    -1059.913926        0.007306
