       Step     Time          Energy          fmax
LBFGS:    0 11:38:59    -1059.196961        5.917087
LBFGS:    1 11:39:00    -1059.589560        3.385202
LBFGS:    2 11:39:00    -1059.807075        1.304204
LBFGS:    3 11:39:00    -1059.889459        0.997258
LBFGS:    4 11:39:00    -1059.960907        0.837875
LBFGS:    5 11:39:00    -1060.058313        0.685273
LBFGS:    6 11:39:00    -1060.088949        0.612564
LBFGS:    7 11:39:00    -1060.131081        0.593712
LBFGS:    8 11:39:00    -1060.152876        0.411641
LBFGS:    9 11:39:00    -1060.166118        0.277762
LBFGS:   10 11:39:00    -1060.178706        0.256474
LBFGS:   11 11:39:00    -1060.194241        0.354810
LBFGS:   12 11:39:00    -1060.210318        0.347335
LBFGS:   13 11:39:00    -1060.222587        0.245527
LBFGS:   14 11:39:00    -1060.230290        0.186824
LBFGS:   15 11:39:00    -1060.235573        0.164713
LBFGS:   16 11:39:00    -1060.240134        0.199604
LBFGS:   17 11:39:00    -1060.244504        0.137388
LBFGS:   18 11:39:00    -1060.247883        0.163405
LBFGS:   19 11:39:00    -1060.251014        0.157746
LBFGS:   20 11:39:00    -1060.253735        0.111847
LBFGS:   21 11:39:00    -1060.255403        0.078870
LBFGS:   22 11:39:00    -1060.256353        0.069584
LBFGS:   23 11:39:00    -1060.257214        0.065246
LBFGS:   24 11:39:00    -1060.258202        0.078822
LBFGS:   25 11:39:00    -1060.259196        0.069800
LBFGS:   26 11:39:00    -1060.260120        0.073799
LBFGS:   27 11:39:00    -1060.261014        0.080886
LBFGS:   28 11:39:00    -1060.261940        0.090010
LBFGS:   29 11:39:00    -1060.262888        0.071776
LBFGS:   30 11:39:00    -1060.263851        0.081466
LBFGS:   31 11:39:00    -1060.264825        0.089872
LBFGS:   32 11:39:00    -1060.265704        0.078505
LBFGS:   33 11:39:01    -1060.266348        0.065362
LBFGS:   34 11:39:01    -1060.266796        0.044749
LBFGS:   35 11:39:01    -1060.267182        0.053607
LBFGS:   36 11:39:01    -1060.267575        0.053981
LBFGS:   37 11:39:01    -1060.267956        0.043117
LBFGS:   38 11:39:01    -1060.268286        0.038906
LBFGS:   39 11:39:01    -1060.268562        0.038479
LBFGS:   40 11:39:01    -1060.268787        0.040172
LBFGS:   41 11:39:01    -1060.268952        0.033971
LBFGS:   42 11:39:01    -1060.269063        0.022932
LBFGS:   43 11:39:01    -1060.269158        0.022869
LBFGS:   44 11:39:01    -1060.269260        0.030130
LBFGS:   45 11:39:01    -1060.269356        0.026353
LBFGS:   46 11:39:01    -1060.269421        0.016372
LBFGS:   47 11:39:01    -1060.269459        0.013229
LBFGS:   48 11:39:01    -1060.269494        0.014310
LBFGS:   49 11:39:01    -1060.269541        0.021005
LBFGS:   50 11:39:01    -1060.269600        0.020062
LBFGS:   51 11:39:01    -1060.269657        0.017703
LBFGS:   52 11:39:01    -1060.269706        0.018134
LBFGS:   53 11:39:01    -1060.269756        0.021336
LBFGS:   54 11:39:01    -1060.269829        0.021473
LBFGS:   55 11:39:01    -1060.269938        0.024624
LBFGS:   56 11:39:01    -1060.270068        0.027822
LBFGS:   57 11:39:01    -1060.270176        0.022986
LBFGS:   58 11:39:01    -1060.270255        0.021360
LBFGS:   59 11:39:01    -1060.270327        0.019967
LBFGS:   60 11:39:01    -1060.270407        0.021174
LBFGS:   61 11:39:01    -1060.270487        0.020888
LBFGS:   62 11:39:01    -1060.270546        0.016021
LBFGS:   63 11:39:01    -1060.270584        0.014163
LBFGS:   64 11:39:01    -1060.270613        0.015368
LBFGS:   65 11:39:01    -1060.270640        0.013713
LBFGS:   66 11:39:02    -1060.270664        0.012183
LBFGS:   67 11:39:02    -1060.270683        0.012234
LBFGS:   68 11:39:02    -1060.270702        0.010235
LBFGS:   69 11:39:02    -1060.270724        0.011414
LBFGS:   70 11:39:02    -1060.270747        0.012996
LBFGS:   71 11:39:02    -1060.270766        0.010617
LBFGS:   72 11:39:02    -1060.270780        0.009711
