Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -2117.361    -2140.091       22.731   578.5
0.0100        -2116.317    -2128.650       12.333   313.9
0.0200        -2113.768    -2126.949       13.182   335.5
0.0300        -2111.552    -2125.385       13.833   352.0
0.0400        -2109.749    -2124.056       14.307   364.1
0.0500        -2108.041    -2124.046       16.005   407.3
0.0600        -2107.034    -2122.780       15.746   400.7
0.0700        -2106.170    -2123.059       16.889   429.8
0.0800        -2104.538    -2122.496       17.959   457.0
0.0900        -2102.699    -2121.269       18.570   472.6
0.1000        -2101.841    -2121.080       19.239   489.6
