Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -2135.994    -2140.091        4.097   104.3
0.0100        -2135.795    -2137.932        2.136    54.4
0.0200        -2135.339    -2137.751        2.412    61.4
0.0300        -2135.260    -2137.632        2.371    60.3
0.0400        -2135.046    -2137.286        2.240    57.0
0.0500        -2134.768    -2137.493        2.725    69.3
0.0600        -2134.590    -2137.387        2.797    71.2
0.0700        -2134.458    -2137.217        2.759    70.2
0.0800        -2134.317    -2137.318        3.001    76.4
0.0900        -2134.152    -2137.209        3.057    77.8
0.1000        -2134.043    -2137.297        3.254    82.8
