Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -2120.308    -2140.091       19.783   503.5
0.0100        -2118.997    -2130.082       11.084   282.1
0.0200        -2117.873    -2128.770       10.897   277.3
0.0300        -2116.669    -2128.313       11.644   296.3
0.0400        -2115.181    -2127.095       11.915   303.2
0.0500        -2114.306    -2126.961       12.656   322.1
0.0600        -2112.121    -2126.535       14.414   366.8
0.0700        -2110.736    -2124.559       13.823   351.8
0.0800        -2109.882    -2124.480       14.598   371.5
0.0900        -2109.975    -2124.514       14.539   370.0
0.1000        -2108.841    -2124.295       15.455   393.3
